Team,ERA,AVG,OBP,OPS,H,R,ER,HR,BB,SO,AVG_BATTING,OBS_BATTING,AB_BATTING,R_BATTING,H_BATTING,2B_BATTING,3B_BATTING,HR_BATTING,BB_BATTING,SO_BATTING,W,L,W/L %,Playoffs
 Texas 2021,4.8,0.256,0.325,0.761,1402,815,759,232,513,1239,0.232,0.67,5405,625,1254,225,24,167,433,1381,60,102,0.37,No
Toronto 2021,3.91,0.236,0.305,0.712,1257,663,610,209,473,1468,0.266,0.797,5476,846,1455,285,13,262,496,1218,91,71,0.562,No
 Washington 2021,4.82,0.254,0.329,0.776,1364,820,747,247,548,1346,0.258,0.754,5385,724,1388,272,20,182,573,1303,65,97,0.401,No
 Arizona 2019,4.25,0.251,0.32,0.752,1400,743,691,220,516,1427,0.252,0.757,5633,813,1419,288,40,220,540,1360,85,77,0.525,No
 Atlanta 2019,4.2,0.256,0.329,0.748,1421,743,677,203,548,1393,0.258,0.789,5560,855,1432,277,29,249,619,1467,97,65,0.599,Yes
 Baltimore 2019,5.61,0.271,0.342,0.839,1544,981,899,305,561,1248,0.246,0.725,5596,729,1379,252,25,213,462,1435,54,108,0.333,No
 Boston 2019,4.7,0.251,0.33,0.761,1423,828,768,215,605,1633,0.269,0.806,5770,901,1554,345,27,245,590,1382,84,78,0.519,No
 Chi. Cubs 2019,4.1,0.251,0.323,0.738,1376,717,657,195,534,1444,0.252,0.783,5461,814,1378,270,26,256,581,1460,84,78,0.519,No
 Chi. White Sox 2019,4.91,0.263,0.337,0.789,1438,832,770,238,582,1312,0.261,0.728,5529,708,1443,260,20,182,378,1549,72,89,0.447,No
 Cincinnati 2019,4.18,0.235,0.31,0.719,1270,711,668,214,536,1552,0.244,0.736,5450,701,1328,235,27,227,492,1436,75,87,0.463,No
